//Track 5

3246.6333,N,11704.2538,W
3246.6332,N,11704.2539,W
3246.6332,N,11704.2539,W
3246.6332,N,11704.2539,W
3246.6332,N,11704.2539,W
3246.6332,N,11704.2540,W
3246.6333,N,11704.2540,W
3246.6333,N,11704.2538,W
3246.6334,N,11704.2538,W
3246.6333,N,11704.2534,W
3246.6332,N,11704.2529,W
3246.6331,N,11704.2522,W
3246.6329,N,11704.2515,W
3246.6328,N,11704.2513,W
3246.6332,N,11704.2506,W
3246.6336,N,11704.2499,W
3246.6337,N,11704.2494,W
3246.6340,N,11704.2485,W
3246.6342,N,11704.2480,W
3246.6351,N,11704.2471,W
3246.6353,N,11704.2468,W
3246.6357,N,11704.2463,W
3246.6359,N,11704.2462,W
3246.6364,N,11704.2464,W
3246.6366,N,11704.2464,W
3246.6367,N,11704.2464,W
3246.6366,N,11704.2467,W
3246.6365,N,11704.2469,W
3246.6366,N,11704.2470,W
3246.6369,N,11704.2474,W
3246.6373,N,11704.2479,W
3246.6374,N,11704.2487,W
3246.6376,N,11704.2494,W
3246.6378,N,11704.2496,W
3246.6376,N,11704.2505,W
3246.6375,N,11704.2511,W
3246.6371,N,11704.2524,W
3246.6371,N,11704.2530,W
3246.6371,N,11704.2537,W
3246.6372,N,11704.2541,W
3246.6371,N,11704.2542,W
3246.6373,N,11704.2543,W
3246.6374,N,11704.2542,W
3246.6374,N,11704.2541,W
3246.6373,N,11704.2540,W
3246.6372,N,11704.2539,W
3246.6372,N,11704.2534,W
3246.6372,N,11704.2530,W
3246.6371,N,11704.2523,W
3246.6371,N,11704.2517,W
3246.6371,N,11704.2510,W
3246.6372,N,11704.2504,W
3246.6373,N,11704.2498,W
3246.6373,N,11704.2494,W
3246.6376,N,11704.2490,W
3246.6376,N,11704.2487,W
3246.6377,N,11704.2483,W
3246.6414,N,11704.2463,W
3246.6420,N,11704.2463,W
3246.6423,N,11704.2463,W
3246.6424,N,11704.2464,W
3246.6426,N,11704.2464,W
3246.6427,N,11704.2465,W
3246.6427,N,11704.2465,W
3246.6428,N,11704.2472,W
3246.6428,N,11704.2477,W
3246.6430,N,11704.2483,W
3246.6432,N,11704.2486,W
3246.6425,N,11704.2503,W
3246.6419,N,11704.2515,W
3246.6415,N,11704.2522,W
3246.6411,N,11704.2528,W
3246.6412,N,11704.2530,W
3246.6411,N,11704.2531,W
3246.6411,N,11704.2531,W
3246.6410,N,11704.2532,W
3246.6409,N,11704.2532,W
3246.6412,N,11704.2529,W
3246.6416,N,11704.2527,W
3246.6420,N,11704.2521,W
3246.6421,N,11704.2518,W
3246.6422,N,11704.2518,W
3246.6422,N,11704.2518,W
3246.6422,N,11704.2517,W
3246.6422,N,11704.2516,W
3246.6423,N,11704.2515,W
